customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Renew,CampaignName,Actual Profit,CustomerType
1657-DYMBM,Male,0,Yes,No,53,Yes,Long term,No,19.9,1110.05,No,Last Campaign,-7,Targeted
6923-EFPNL,Male,0,No,No,4,Yes,Short term,No,51.75,201.1,Yes,Last Campaign,43,Targeted
2167-FQSTQ,Female,0,Yes,No,72,Yes,Long term,Yes,92.4,6786.1,No,Last Campaign,-7,Targeted
9286-BHDQG,Male,0,Yes,Yes,72,No,Long term,No,45.25,3139.8,No,Last Campaign,-7,Targeted
7225-CBZPL,Male,1,Yes,No,17,Yes,Short term,Yes,94.8,1563.9,No,Last Campaign,-7,Targeted
5605-IYGFG,Female,0,No,No,7,Yes,Short term,Yes,69.85,515.45,No,Last Campaign,-7,Targeted
6861-OKBCE,Female,0,No,Yes,11,Yes,Short term,No,20.1,221.35,Yes,Last Campaign,43,Targeted
7571-YXDAD,Female,0,No,No,2,Yes,Short term,No,74.9,147.15,Yes,Last Campaign,43,Targeted
0254-FNMCI,Female,0,No,No,72,Yes,Long term,Yes,109.9,7624.2,No,Last Campaign,-7,Targeted
8981-FJGLA,Male,0,No,Yes,11,Yes,Short term,Yes,78,851.8,No,Last Campaign,-7,Targeted
8414-MYSHR,Male,1,No,No,5,Yes,Short term,Yes,91.4,449.75,Yes,Last Campaign,43,Targeted
9274-CNFMO,Male,1,Yes,No,4,Yes,Short term,No,74.95,308.7,Yes,Last Campaign,43,Targeted
3794-NFNCH,Male,0,Yes,No,30,Yes,Short term,Yes,50,1474.9,No,Last Campaign,-7,Targeted
1100-DDVRV,Male,0,Yes,No,17,No,Short term,Yes,49.8,836.35,No,Last Campaign,-7,Targeted
9522-BNTHX,Female,1,No,No,34,No,Short term,Yes,56.25,1765.95,No,Last Campaign,-7,Targeted
3677-IYRBF,Female,1,No,No,2,No,Short term,Yes,30.4,78.65,Yes,Last Campaign,43,Targeted
8250-ZNGGW,Female,1,No,No,5,Yes,Short term,No,59.9,287.85,No,Last Campaign,-7,Targeted
0967-BMLBD,Female,0,Yes,Yes,11,Yes,Short term,Yes,20,196.35,No,Last Campaign,-7,Targeted
7594-RQHXR,Female,0,No,Yes,1,Yes,Short term,Yes,79.6,79.6,Yes,Last Campaign,43,Targeted
8966-SNIZF,Female,0,Yes,No,70,Yes,Long term,No,19.45,1303.5,No,Last Campaign,-7,Targeted
7815-PDTHL,Male,0,No,No,35,Yes,Long term,Yes,20.2,684.4,No,Last Campaign,-7,Targeted
8901-UPRHR,Female,0,Yes,Yes,72,Yes,Long term,Yes,109.2,7711.45,No,Last Campaign,-7,Targeted
3563-SVYLG,Male,0,Yes,Yes,68,Yes,Long term,No,62.65,4375.8,No,Last Campaign,-7,Targeted
5392-AKEMH,Female,0,No,No,12,Yes,Short term,Yes,45.05,523.1,No,Last Campaign,-7,Targeted
6919-ELBGL,Male,1,Yes,Yes,72,Yes,Long term,Yes,114.95,8196.4,No,Last Campaign,-7,Targeted
0530-IJVDB,Male,0,No,Yes,70,Yes,Long term,Yes,114.6,7882.5,No,Last Campaign,-7,Targeted
8404-FYDIB,Male,0,No,No,26,Yes,Short term,Yes,86.65,2208.75,No,Last Campaign,-7,Targeted
3415-TAILE,Female,0,Yes,Yes,2,Yes,Short term,No,65.7,134.35,Yes,Last Campaign,43,Targeted
6164-HXUGH,Female,0,Yes,Yes,6,Yes,Short term,No,19.85,119.3,No,Last Campaign,-7,Targeted
6762-QVYJO,Female,0,Yes,Yes,58,No,Long term,No,59.75,3624.35,No,Last Campaign,-7,Targeted
5046-NUHWD,Female,1,Yes,No,29,No,Short term,Yes,45,1228.65,No,Last Campaign,-7,Targeted
0106-GHRQR,Male,0,No,No,16,Yes,Short term,Yes,71.4,1212.1,No,Last Campaign,-7,Targeted
8374-XGEJJ,Male,1,Yes,No,43,Yes,Short term,Yes,101,4388.4,Yes,Last Campaign,43,Targeted
7569-NMZYQ,Female,0,Yes,Yes,72,Yes,Long term,Yes,118.75,8672.45,No,Last Campaign,-7,Targeted
3279-DYZQM,Male,0,Yes,Yes,71,Yes,Long term,No,19.45,1378.45,No,Last Campaign,-7,Targeted
0374-FIUCA,Male,0,Yes,No,65,Yes,Long term,Yes,20.4,1414.45,No,Last Campaign,-7,Targeted
8705-DWKTI,Male,0,No,No,52,Yes,Short term,Yes,83.8,4331.4,No,Last Campaign,-7,Targeted
4195-SMMNX,Male,0,No,No,2,Yes,Short term,No,20.35,33.2,Yes,Last Campaign,43,Targeted
5136-GFPMB,Male,0,No,No,54,Yes,Short term,No,89.4,4869.5,No,Last Campaign,-7,Targeted
3055-MJDSB,Male,0,No,No,9,No,Short term,Yes,24.6,190.1,No,Last Campaign,-7,Targeted
7516-GMHUV,Male,1,Yes,No,50,Yes,Long term,Yes,105.05,5163.3,No,Last Campaign,-7,Targeted
5940-NFXKV,Male,0,Yes,Yes,19,Yes,Short term,Yes,83.65,1465.75,Yes,Last Campaign,43,Targeted
3597-YASZG,Female,1,Yes,No,70,Yes,Long term,Yes,104.45,7349.35,No,Last Campaign,-7,Targeted
3786-WOVKF,Female,1,Yes,No,72,Yes,Short term,Yes,106.85,7677.4,No,Last Campaign,-7,Targeted
0799-DDIHE,Female,0,Yes,Yes,15,Yes,Short term,No,46.3,639.45,No,Last Campaign,-7,Targeted
9926-PJHDQ,Female,0,Yes,Yes,72,Yes,Long term,Yes,76.8,5468.45,No,Last Campaign,-7,Targeted
0334-GDDSO,Male,1,No,No,3,Yes,Short term,Yes,81.35,233.7,Yes,Last Campaign,43,Targeted
4634-JLRJT,Female,0,No,No,1,Yes,Short term,Yes,20.35,20.35,No,Last Campaign,-7,Targeted
3194-ORPIK,Female,0,Yes,Yes,50,Yes,Short term,Yes,84.4,4116.15,Yes,Last Campaign,43,Targeted
6048-NJXHX,Male,0,Yes,No,41,Yes,Long term,Yes,19.75,899.45,No,Last Campaign,-7,Targeted
7860-KSUGX,Male,0,Yes,Yes,72,Yes,Long term,No,64.45,4720,No,Last Campaign,-7,Targeted
2925-MXLSX,Female,0,No,No,30,Yes,Short term,Yes,68.95,2038.7,No,Last Campaign,-7,Targeted
2933-FILNV,Female,0,Yes,Yes,2,No,Short term,Yes,24.4,36.55,Yes,Last Campaign,43,Targeted
2027-DNKIV,Male,0,Yes,Yes,37,Yes,Short term,Yes,58.75,2203.1,No,Last Campaign,-7,Targeted
4751-ERMAN,Male,0,Yes,Yes,72,Yes,Long term,Yes,75.4,5480.25,No,Last Campaign,-7,Targeted
7929-SKFGK,Male,0,Yes,No,70,Yes,Long term,No,114.3,8244.3,No,Last Campaign,-7,Targeted
8329-IBCTI,Female,0,No,No,1,Yes,Short term,No,19.65,19.65,Yes,Last Campaign,43,Targeted
9754-CLVZW,Female,0,Yes,Yes,26,No,Short term,No,38.85,1025.15,No,Last Campaign,-7,Targeted
3298-QEICA,Female,0,Yes,Yes,23,No,Long term,No,34.6,813.45,No,Last Campaign,-7,Targeted
9420-LOJKX,Female,0,No,No,15,Yes,Short term,Yes,99.1,1426.4,Yes,Last Campaign,43,Targeted
3391-JSQEW,Male,0,Yes,No,40,Yes,Short term,Yes,50.15,2058.5,No,Last Campaign,-7,Targeted
4939-KYYPY,Male,0,No,No,27,Yes,Short term,No,59.45,1611.65,No,Last Campaign,-7,Targeted
6480-YAGIY,Male,0,No,No,45,Yes,Short term,No,112.2,5031.85,No,Last Campaign,-7,Targeted
8577-QSOCG,Female,0,Yes,Yes,38,Yes,Long term,Yes,20.2,746.05,No,Last Campaign,-7,Targeted
8963-JLGJT,Male,0,No,Yes,3,Yes,Short term,No,55.9,157.55,No,Last Campaign,-7,Targeted
3266-FTKHB,Male,0,No,No,17,Yes,Long term,No,19.15,343.45,No,Last Campaign,-7,Targeted
6122-LJADA,Male,0,Yes,Yes,70,Yes,Long term,Yes,90.15,6237.05,No,Last Campaign,-7,Targeted
9576-SYUHJ,Male,0,No,No,37,Yes,Short term,Yes,91.15,3369.25,No,Last Campaign,-7,Targeted
2207-QPJED,Female,1,Yes,No,37,Yes,Short term,No,90,3371.75,No,Last Campaign,-7,Targeted
6990-YNRIO,Male,0,Yes,Yes,65,Yes,Long term,No,108.65,6937.95,Yes,Last Campaign,43,Targeted
0489-WMEMG,Female,0,No,Yes,23,Yes,Short term,Yes,49.45,1119.35,No,Last Campaign,-7,Targeted
2189-UXTKY,Female,0,Yes,No,22,Yes,Short term,Yes,79.2,1742.75,Yes,Last Campaign,43,Targeted
7105-MXJLL,Female,1,Yes,No,26,Yes,Short term,No,60.7,1597.4,No,Last Campaign,-7,Targeted
7133-VBDCG,Female,0,No,No,25,Yes,Short term,Yes,79.85,2015.35,Yes,Last Campaign,43,Targeted
9933-QRGTX,Female,0,Yes,No,60,Yes,Long term,Yes,97.2,5611.75,No,Last Campaign,-7,Targeted
8063-GBATB,Female,1,No,No,27,Yes,Short term,Yes,85.25,2287.25,Yes,Last Campaign,43,Targeted
9611-CTWIH,Female,0,No,No,3,Yes,Short term,Yes,89.45,240.45,Yes,Last Campaign,43,Targeted
5846-NEQVZ,Male,0,Yes,Yes,71,Yes,Long term,Yes,70.85,4973.4,No,Last Campaign,-7,Targeted
6022-KOUQO,Female,0,Yes,Yes,2,No,Short term,No,29.05,44.75,No,Last Campaign,-7,Targeted
7205-BAIAD,Female,0,No,No,40,Yes,Long term,Yes,20.6,827.3,No,Last Campaign,-7,Targeted
9574-BOSMD,Male,0,Yes,Yes,68,Yes,Long term,No,25.4,1620.2,No,Last Campaign,-7,Targeted
4884-TVUQF,Female,1,No,No,57,Yes,Long term,No,101.3,5779.6,No,Last Campaign,-7,Targeted
6439-GTPCA,Female,0,No,No,45,Yes,Short term,Yes,87.25,3941.7,Yes,Last Campaign,43,Targeted
3795-CAWEX,Male,0,Yes,Yes,70,Yes,Long term,Yes,116.55,8152.3,No,Last Campaign,-7,Targeted
4983-CLMLV,Female,0,Yes,No,52,Yes,Short term,Yes,102.7,5138.1,No,Last Campaign,-7,Targeted
2380-DAMQP,Female,0,Yes,No,72,Yes,Long term,No,115.15,8349.7,No,Last Campaign,-7,Targeted
6695-FRVEC,Male,0,Yes,Yes,67,Yes,Long term,Yes,60.4,3953.7,No,Last Campaign,-7,Targeted
0361-HJRDX,Female,0,No,No,68,No,Long term,No,64.35,4539.6,No,Last Campaign,-7,Targeted
0354-VXMJC,Male,0,Yes,Yes,23,Yes,Long term,No,19.6,426.65,No,Last Campaign,-7,Targeted
6559-ILWKJ,Male,0,Yes,No,71,No,Long term,No,49.35,3515.25,Yes,Last Campaign,43,Targeted
9895-VFOXH,Female,0,No,No,1,No,Short term,No,24.4,24.4,No,Last Campaign,-7,Targeted
8229-BUJHX,Female,0,Yes,Yes,71,Yes,Long term,No,20.5,1500.95,No,Last Campaign,-7,Targeted
2995-UPRYS,Female,1,Yes,No,40,Yes,Short term,Yes,99.2,4062.2,Yes,Last Campaign,43,Targeted
9208-OLGAQ,Female,1,No,No,18,Yes,Short term,Yes,84.95,1443.65,No,Last Campaign,-7,Targeted
4124-MMETB,Male,0,No,No,22,Yes,Short term,Yes,94.65,2104.55,Yes,Last Campaign,43,Targeted
8882-TLVRW,Male,0,Yes,Yes,69,No,Long term,No,39.1,2779.5,No,Last Campaign,-7,Targeted
2957-JIRMN,Female,1,No,No,62,Yes,Short term,No,84.45,4959.15,No,Last Campaign,-7,Targeted
3724-UCSHY,Male,0,Yes,Yes,6,Yes,Short term,No,19.55,122.9,No,Last Campaign,-7,Targeted
7130-CTCUS,Male,1,Yes,No,16,Yes,Short term,Yes,54.55,825.1,No,Last Campaign,-7,Targeted
8218-FFJDS,Female,0,Yes,No,72,Yes,Long term,Yes,86.4,6058.95,No,Last Campaign,-7,Targeted
8259-NFJTV,Female,0,Yes,Yes,7,No,Short term,No,34.65,246.6,No,Last Campaign,-7,Targeted
7909-FIOIY,Female,0,Yes,Yes,19,No,Short term,Yes,24.85,434.8,No,Last Campaign,-7,Targeted
3317-VLGQT,Female,0,Yes,No,14,Yes,Short term,Yes,78.1,1122.4,No,Last Campaign,-7,Targeted
6732-VAILE,Male,0,Yes,Yes,70,Yes,Long term,Yes,85.95,5931.75,No,Last Campaign,-7,Targeted
1302-TPUBN,Male,0,No,No,66,Yes,Long term,No,19.35,1240.8,No,Last Campaign,-7,Targeted
8380-PEFPE,Male,0,No,Yes,1,Yes,Short term,Yes,71.65,71.65,Yes,Last Campaign,43,Targeted
7402-PWYJJ,Female,0,Yes,No,53,Yes,Short term,Yes,91.15,4862.5,No,Last Campaign,-7,Targeted
4250-FDVOU,Female,0,No,No,6,Yes,Short term,No,56.25,389.1,Yes,Last Campaign,43,Targeted
9128-CPXKI,Female,0,No,No,59,Yes,Long term,No,95.8,5655.45,No,Last Campaign,-7,Targeted
0404-SWRVG,Male,0,No,No,3,Yes,Short term,Yes,74.4,229.55,Yes,Last Campaign,43,Targeted
1899-VXWXM,Male,0,No,No,48,Yes,Short term,Yes,106.1,5082.8,Yes,Last Campaign,43,Targeted
8450-JOVAH,Male,0,Yes,Yes,2,Yes,Short term,No,56.7,113.55,Yes,Last Campaign,43,Targeted
4550-VBOFE,Male,1,Yes,No,70,Yes,Short term,Yes,102.95,7101.5,Yes,Last Campaign,43,Targeted
4789-KWMXN,Male,0,Yes,No,47,Yes,Short term,Yes,110.85,5275.8,Yes,Last Campaign,43,Targeted
0835-DUUIQ,Female,0,No,Yes,24,Yes,Short term,No,21.05,531.55,No,Last Campaign,-7,Targeted
1855-AGAWH,Male,0,Yes,No,31,Yes,Short term,Yes,93.8,2939.8,No,Last Campaign,-7,Targeted
3577-AMVUX,Male,0,No,No,1,Yes,Short term,No,55.05,55.05,No,Last Campaign,-7,Targeted
2316-ESMLS,Female,0,Yes,Yes,12,No,Short term,No,33.15,444.75,No,Last Campaign,-7,Targeted
9426-SXNHE,Female,0,No,No,2,Yes,Short term,No,18.75,53.15,No,Last Campaign,-7,Targeted
0723-DRCLG,Female,1,Yes,No,1,Yes,Short term,Yes,74.45,74.45,Yes,Last Campaign,43,Targeted
2176-OSJUV,Male,0,Yes,No,71,Yes,Long term,No,65.15,4681.75,No,Last Campaign,-7,Targeted
8626-XHBIE,Male,0,No,Yes,56,Yes,Long term,Yes,24.8,1424.2,No,Last Campaign,-7,Targeted
8166-ZZTFS,Female,1,Yes,No,66,Yes,Long term,Yes,80.55,5265.1,Yes,Last Campaign,43,Targeted
0929-PECLO,Female,1,No,No,63,Yes,Short term,Yes,89.6,5538.8,No,Last Campaign,-7,Targeted
5696-QURRL,Male,0,No,No,1,Yes,Short term,Yes,45.05,45.05,Yes,Last Campaign,43,Targeted
8124-NZVGJ,Female,0,No,No,6,No,Short term,Yes,49.25,255.6,No,Last Campaign,-7,Targeted
4489-SNOJF,Female,0,Yes,Yes,35,Yes,Short term,No,72.25,2568.55,Yes,Last Campaign,43,Targeted
8984-HPEMB,Female,0,No,No,71,Yes,Long term,Yes,118.65,8477.6,No,Last Campaign,-7,Targeted
4615-PIVVU,Female,0,No,No,42,Yes,Long term,No,66.5,2762.75,No,Last Campaign,-7,Targeted
6848-HJTXY,Female,0,Yes,No,64,Yes,Long term,No,19.45,1208.6,No,Last Campaign,-7,Targeted
8757-TFHHJ,Male,0,No,No,1,Yes,Short term,Yes,49.8,49.8,No,Last Campaign,-7,Targeted
4603-JANFB,Male,0,No,No,1,Yes,Short term,Yes,69.85,69.85,Yes,Last Campaign,43,Targeted
8565-HBFNN,Male,0,Yes,No,69,Yes,Short term,Yes,107.2,7317.1,No,Last Campaign,-7,Targeted
7422-WNBTY,Male,0,Yes,No,33,Yes,Short term,Yes,93.35,3092,No,Last Campaign,-7,Targeted
4712-UYOOI,Female,0,Yes,Yes,20,Yes,Short term,No,20,417.65,No,Last Campaign,-7,Targeted
3372-CDXFJ,Male,0,Yes,Yes,13,Yes,Short term,No,24.5,343.6,No,Last Campaign,-7,Targeted
5353-WILCI,Female,0,No,No,28,Yes,Short term,No,56.05,1522.65,No,Last Campaign,-7,Targeted
8270-RKSAP,Male,0,No,No,9,Yes,Short term,Yes,70.5,597.9,No,Last Campaign,-7,Targeted
5954-BDFSG,Female,0,No,No,72,Yes,Long term,Yes,107.5,7853.7,No,Last Campaign,-7,Targeted
2202-OUTMO,Female,0,Yes,No,34,Yes,Short term,Yes,60.85,2003.6,No,Last Campaign,-7,Targeted
9150-KPBJQ,Female,0,No,No,6,Yes,Long term,No,19.65,116.85,No,Last Campaign,-7,Targeted
4003-OCTMP,Female,0,Yes,No,31,Yes,Short term,Yes,64,1910.75,No,Last Campaign,-7,Targeted
8775-LHDJH,Female,1,Yes,No,1,Yes,Short term,Yes,90.6,90.6,Yes,Last Campaign,43,Targeted
7596-IIWYC,Female,0,No,No,27,Yes,Long term,Yes,20.25,538.2,No,Last Campaign,-7,Targeted
9281-PKKZE,Female,0,Yes,No,46,No,Short term,Yes,43.95,2007.85,No,Last Campaign,-7,Targeted
5186-PEIZU,Female,0,No,No,35,Yes,Short term,No,19.25,617.65,No,Last Campaign,-7,Targeted
6339-YPSAH,Male,0,No,No,9,Yes,Short term,Yes,73.8,704.3,No,Last Campaign,-7,Targeted
2324-EFHVG,Male,0,No,No,64,Yes,Long term,Yes,104.4,6692.65,No,Last Campaign,-7,Targeted
1918-ZBFQJ,Female,0,No,No,13,Yes,Short term,Yes,79.25,1111.65,Yes,Last Campaign,43,Targeted
6968-GMKPR,Female,0,No,No,55,Yes,Short term,Yes,81.55,4509.5,No,Last Campaign,-7,Targeted
3062-ICYZQ,Female,0,Yes,Yes,51,Yes,Short term,Yes,93.8,4539.35,No,Last Campaign,-7,Targeted
2233-FAGXV,Female,0,Yes,Yes,5,Yes,Short term,Yes,24.3,132.25,No,Last Campaign,-7,Targeted
6017-PPLPX,Male,0,Yes,Yes,20,Yes,Short term,Yes,70.45,1470.95,Yes,Last Campaign,43,Targeted
9705-IOVQQ,Male,1,Yes,Yes,61,Yes,Short term,No,99,5969.3,No,Last Campaign,-7,Targeted
6288-CHQJB,Female,0,Yes,Yes,54,Yes,Long term,No,69.95,3871.85,No,Last Campaign,-7,Targeted
3315-TOTBP,Male,0,No,No,15,Yes,Short term,Yes,76,1130.85,Yes,Last Campaign,43,Targeted
6096-EGVTU,Female,0,Yes,Yes,64,Yes,Short term,No,24.9,1595.5,No,Last Campaign,-7,Targeted
2937-FTHUR,Female,0,No,Yes,18,Yes,Short term,No,64.8,1166.7,No,Last Campaign,-7,Targeted
4062-HBMOS,Male,0,No,No,52,Yes,Short term,Yes,103.05,5364.8,No,Last Campaign,-7,Targeted
4609-KNNWG,Female,0,Yes,Yes,27,Yes,Long term,No,19.9,550.1,No,Last Campaign,-7,Targeted
3766-EJLFL,Female,0,Yes,Yes,68,Yes,Long term,Yes,109.05,7508.55,No,Last Campaign,-7,Targeted
6582-OIVSP,Female,0,No,No,1,Yes,Short term,No,45.3,45.3,No,Last Campaign,-7,Targeted
4257-GAESD,Female,0,No,No,6,No,Short term,No,45,298.7,No,Last Campaign,-7,Targeted
2839-RFSQE,Female,0,No,No,2,Yes,Short term,No,20.65,38.7,Yes,Last Campaign,43,Targeted
4890-VMUAV,Male,0,No,No,63,Yes,Short term,No,71.5,4576.3,No,Last Campaign,-7,Targeted
3365-SAIGS,Female,0,No,No,17,Yes,Short term,Yes,83.55,1329.15,No,Last Campaign,-7,Targeted
3920-HIHMQ,Female,0,No,Yes,26,Yes,Short term,Yes,49.5,1265.65,No,Last Campaign,-7,Targeted
5307-UVGNB,Female,0,Yes,Yes,53,No,Short term,Yes,48.7,2495.2,No,Last Campaign,-7,Targeted
8780-RSYYU,Female,0,No,No,25,Yes,Short term,Yes,19.2,532.1,No,Last Campaign,-7,Targeted
0742-NXBGR,Female,0,No,No,1,Yes,Short term,Yes,82.3,82.3,Yes,Last Campaign,43,Targeted
8067-NIOYM,Female,0,Yes,Yes,24,Yes,Long term,Yes,21.1,490.65,No,Last Campaign,-7,Targeted
9251-WNSOD,Female,0,Yes,No,67,Yes,Short term,No,75.1,5064.45,No,Last Campaign,-7,Targeted
6576-FBXOJ,Male,0,Yes,No,17,No,Short term,No,54.6,934.8,No,Last Campaign,-7,Targeted
2501-XWWTZ,Male,0,No,No,11,Yes,Short term,No,70.2,760.05,No,Last Campaign,-7,Targeted
6567-HOOPW,Female,1,No,No,1,Yes,Short term,Yes,79.2,79.2,Yes,Last Campaign,43,Targeted
4550-EVXNY,Female,0,No,Yes,1,Yes,Short term,Yes,69.65,69.65,Yes,Last Campaign,43,Targeted
6437-UDQJM,Female,1,Yes,No,72,Yes,Long term,Yes,84.1,6129.65,No,Last Campaign,-7,Targeted
0297-RBCSG,Male,0,No,No,19,Yes,Short term,Yes,65.35,1231.85,No,Last Campaign,-7,Targeted
2097-YVPKN,Male,0,No,No,65,Yes,Long term,No,25.75,1654.75,No,Last Campaign,-7,Targeted
0853-NWIFK,Female,0,No,No,45,Yes,Short term,Yes,100.3,4483.95,No,Last Campaign,-7,Targeted
4853-OITSN,Male,0,Yes,No,5,Yes,Short term,Yes,89.15,413.25,No,Last Campaign,-7,Targeted
6128-DAFVY,Female,0,No,No,56,No,Short term,Yes,44.85,2564.95,No,Last Campaign,-7,Targeted
7508-DQAKK,Female,0,No,No,64,Yes,Long term,Yes,86.4,5442.05,No,Last Campaign,-7,Targeted
9938-PRCVK,Female,0,Yes,Yes,41,Yes,Long term,No,19.7,804.25,No,Last Campaign,-7,Targeted
0289-IVARM,Female,0,No,No,35,Yes,Short term,No,60.55,1982.6,No,Last Campaign,-7,Targeted
8260-NGFNY,Female,0,No,No,1,No,Short term,No,25.2,25.2,Yes,Last Campaign,43,Targeted
